MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87873	Acd	adrenocortical dysplasia	8		mitotic telomere maintenance via semi-conservative replication			IBA	PTN001802536 	J:161428 	
MGI:87873	Acd	adrenocortical dysplasia	8		mitotic telomere maintenance via semi-conservative replication			IBA	PTN001802536 SPAC6F6.16c 	J:265628 	
MGI:87873	Acd	adrenocortical dysplasia	8		negative regulation of telomere maintenance via telomerase			ISO	Q96AP0 	J:164563 	
MGI:87873	Acd	adrenocortical dysplasia	8		positive regulation of telomere maintenance via telomerase			IBA	PTN001802536 	J:161428 	
MGI:87873	Acd	adrenocortical dysplasia	8		positive regulation of telomere maintenance via telomerase			IBA	PTN001802536 Q96AP0 	J:265628 	
MGI:87873	Acd	adrenocortical dysplasia	8		positive regulation of telomere maintenance via telomerase			ISO	Q96AP0 	J:164563 	
MGI:87873	Acd	adrenocortical dysplasia	8		protection from non-homologous end joining at telomere			IBA	MGI:87873 PTN001802536 	J:265628 	
MGI:87873	Acd	adrenocortical dysplasia	8		protection from non-homologous end joining at telomere			IBA	PTN001802536 	J:161428 	
MGI:87873	Acd	adrenocortical dysplasia	8		protection from non-homologous end joining at telomere			IMP		J:143815 	
MGI:87873	Acd	adrenocortical dysplasia	8		telomere capping			IBA	MGI:87873 PTN001802536 Q96AP0 SPAC6F6.16c 	J:265628 	
MGI:87873	Acd	adrenocortical dysplasia	8		telomere capping			IBA	PTN001802536 	J:161428 	
MGI:87873	Acd	adrenocortical dysplasia	8		telomere capping			IMP		J:159142 	
MGI:87873	Acd	adrenocortical dysplasia	8		telomere capping			ISO	Q96AP0 	J:164563 	
MGI:87873	Acd	adrenocortical dysplasia	8		telomere maintenance			ISO	Q96AP0 	J:73065 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		telomere maintenance			ISO	P27695 	J:164563 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		telomere maintenance via base-excision repair			ISO	P27695 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		negative regulation of telomere capping			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of telomere maintenance via telomerase			IMP		J:228143 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		positive regulation of telomere maintenance via telomere lengthening			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		regulation of telomere maintenance via telomerase			ISO	Q13315 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		telomere maintenance			IBA	PTN001673294 S000000184 SPCC23B6.03c 	J:265628 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		telomere maintenance			IBA	PTN001673294 	J:161428 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		positive regulation of telomere maintenance via telomerase			IMP		J:228143 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		telomere maintenance			IBA	PTN001673376 S000000340 SPBC216.05 	J:265628 	
MGI:108028	Atr	ataxia telangiectasia and Rad3 related	9		telomere maintenance			IBA	PTN001673376 	J:161428 	
MGI:103067	Atrx	ATRX, chromatin remodeler	X		positive regulation of telomere maintenance			IMP		J:160497 	
MGI:107168	Aurkb	aurora kinase B	11		positive regulation of telomere capping			ISO	Q96GD4 	J:164563 	
MGI:107168	Aurkb	aurora kinase B	11		positive regulation of telomere maintenance via telomerase			ISO	Q96GD4 	J:164563 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		telomere maintenance	happens in spleen,happens in native cell		IGI	MGI:109558 MGI:109635 	J:93016 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		telomeric D-loop disassembly			IBA	PTN001009191 	J:161428 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		telomeric D-loop disassembly			IBA	P54132 PTN001009191 	J:265628 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		telomeric D-loop disassembly			ISO	P54132 	J:164563 	
MGI:109337	Brca2	breast cancer 2, early onset	5		telomere maintenance via recombination	is upstream of telomere capping		IGI	Q13207 	J:228560 	
MGI:88316	Ccne1	cyclin E1	7		telomere maintenance			IGI	MGI:1329034 	J:226665 	
MGI:1329034	Ccne2	cyclin E2	4		telomere maintenance			IGI	MGI:88316 	J:226665 	
MGI:107186	Cct2	chaperonin containing Tcp1, subunit 2 (beta)	10		positive regulation of telomere maintenance via telomerase			ISO	P78371 	J:164563 	
MGI:104708	Cct3	chaperonin containing Tcp1, subunit 3 (gamma)	3		positive regulation of telomere maintenance via telomerase			ISO	P49368 	J:164563 	
MGI:104689	Cct4	chaperonin containing Tcp1, subunit 4 (delta)	11		positive regulation of telomere maintenance via telomerase			ISO	P50991 	J:164563 	
MGI:107185	Cct5	chaperonin containing Tcp1, subunit 5 (epsilon)	15		positive regulation of telomere maintenance via telomerase			ISO	P48643 	J:164563 	
MGI:107943	Cct6a	chaperonin containing Tcp1, subunit 6a (zeta)	5		positive regulation of telomere maintenance via telomerase			ISO	P40227 	J:164563 	
MGI:107184	Cct7	chaperonin containing Tcp1, subunit 7 (eta)	6		positive regulation of telomere maintenance via telomerase			ISO	Q99832 	J:164563 	
MGI:107183	Cct8	chaperonin containing Tcp1, subunit 8 (theta)	16		positive regulation of telomere maintenance via telomerase			ISO	P50990 	J:164563 	
MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	11		negative regulation of telomere maintenance via telomerase			ISO	Q2NKJ3 	J:164563 	
MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	11		telomere maintenance			ISO	Q2NKJ3 	J:164563 	
MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	11		telomere maintenance via telomere lengthening			IBA	MGI:1916214 PTN001804660 	J:265628 	
MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	11		telomere maintenance via telomere lengthening			IBA	PTN001804660 	J:161428 	
MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	11		telomere maintenance via telomere lengthening			IMP	MGI:5427642 	J:184809 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		positive regulation of telomere maintenance via telomerase	happens in embryonic stem cell		IMP		J:185349 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		protection from non-homologous end joining at telomere			IBA	MGI:2156057 PTN000581728 Q9H816 	J:265628 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		protection from non-homologous end joining at telomere			IBA	PTN000581728 	J:161428 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		protection from non-homologous end joining at telomere			IBA	MGI:2156057 PTN000581728 Q9H816 	J:265628 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		protection from non-homologous end joining at telomere			IBA	PTN000581728 	J:161428 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		protection from non-homologous end joining at telomere			IMP		J:162085 J:163935 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		protection from non-homologous end joining at telomere			ISO	Q9H816 	J:164563 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		telomere capping			ISO	Q9H816 	J:164563 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		telomere maintenance			ISO	Q9H816 	J:164563 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		telomere maintenance via telomere lengthening			ISO	Q9H816 	J:164563 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		telomeric 3' overhang formation			IMP		J:162085 J:163935 	
MGI:2156057	Dclre1b	DNA cross-link repair 1B	3		telomeric loop formation			IMP		J:163935 	
MGI:2441769	Dclre1c	DNA cross-link repair 1C	2		protection from non-homologous end joining at telomere			IBA	MGI:2156057 PTN000581728 Q9H816 	J:265628 	
MGI:2441769	Dclre1c	DNA cross-link repair 1C	2		protection from non-homologous end joining at telomere			IBA	PTN000581728 	J:161428 	
MGI:2441769	Dclre1c	DNA cross-link repair 1C	2		telomere maintenance			IMP		J:94764 	
MGI:1917890	Dcp2	decapping mRNA 2	18		negative regulation of telomere maintenance via telomerase			ISO	Q8IU60 	J:164563 	
MGI:1919412	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3		positive regulation of telomere maintenance			ISO	Q9H2U1 	J:164563 	
MGI:1919412	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3		positive regulation of telomere maintenance via telomere lengthening			ISO	Q9H2U1 	J:164563 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		positive regulation of telomere maintenance via telomerase			IMP	MGI:3849598 	J:91485 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		telomere maintenance via telomerase			ISO	O60832 	J:164563 	
MGI:2443732	Dna2	DNA replication helicase/nuclease 2	10		mitotic telomere maintenance via semi-conservative replication			IMP		J:198831 	
MGI:2443732	Dna2	DNA replication helicase/nuclease 2	10		telomere maintenance			IMP		J:198831 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		negative regulation of protection from non-homologous end joining at telomere			ISO	P07992 	J:164563 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		negative regulation of telomere maintenance			ISO	P07992 	J:164563 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		positive regulation of t-circle formation	happens at the same time as cell cycle		IMP		J:222674 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		t-circle formation	happens at the same time as cell cycle		IMP		J:222674 	
MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	7		telomeric DNA-containing double minutes formation			ISO	P07992 	J:164563 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		negative regulation of protection from non-homologous end joining at telomere			ISO	Q92889 	J:164563 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		negative regulation of telomere maintenance			ISO	Q92889 	J:164563 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		negative regulation of telomere maintenance via telomere lengthening			ISO	Q92889 	J:164563 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		telomere maintenance			ISO	Q92889 	J:164563 	
MGI:1354163	Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	16		telomeric DNA-containing double minutes formation			ISO	Q92889 	J:164563 	
MGI:1355322	Exosc10	exosome component 10	4		negative regulation of telomere maintenance via telomerase			ISO	Q01780 	J:164563 	
